file,index,orig_id,new_id,question_preview
Bonus File 33 - The 'Impossible' Questions.json,0,3001,103001,"In NEW systems (post-2012), can you use pure glycerin and mix it with water on site?"
Bonus File 33 - The 'Impossible' Questions.json,1,3002,103002,Where does the Forward Flow Test of a backflow preventer take place?
Bonus File 33 - The 'Impossible' Questions.json,2,3003,103003,Can you drive a lag screw into the side of a wood beam (horizontal)?
"Data Block 1 - Installation (NFPA 13, 13D, 13R).json",0,101,200101,What is the coverage area for Light Hazard heads (Standard Spray)?
"Data Block 1 - Installation (NFPA 13, 13D, 13R).json",1,102,200102,What is the coverage area for Ordinary Hazard heads?
"Data Block 1 - Installation (NFPA 13, 13D, 13R).json",2,103,200103,What is the coverage area for Extra Hazard heads?
"Data Block 1 - Installation (NFPA 13, 13D, 13R).json",3,104,200104,"What is the maximum distance between hangers on 1"" schedule 40 pipe?"
"Data Block 1 - Installation (NFPA 13, 13D, 13R).json",4,105,200105,"What is the maximum distance between hangers on 1¼"" schedule 40 pipe?"
"Data Block 1 - Installation (NFPA 13, 13D, 13R).json",5,106,200106,"What is the maximum distance between hangers on 1½"" schedule 40 pipe?"
"Data Block 1 - Installation (NFPA 13, 13D, 13R).json",6,107,200107,"Maximum unsupported length of pipe from end of 1"" pipe to last hanger?"
"Data Block 1 - Installation (NFPA 13, 13D, 13R).json",7,108,200108,"Maximum unsupported length of pipe from end of 1¼"" pipe to last hanger?"
"Data Block 1 - Installation (NFPA 13, 13D, 13R).json",8,109,200109,"Maximum unsupported length of pipe from end of 1½"" pipe to last hanger?"
"Data Block 1 - Installation (NFPA 13, 13D, 13R).json",9,115,200115,"In Light Hazard, how many sprinklers can be fed by a 1"" pipe?"
"Data Block 1 - Installation (NFPA 13, 13D, 13R).json",10,116,200116,"In Light Hazard, how many sprinklers can be fed by a 1½"" pipe?"
"Data Block 1 - Installation (NFPA 13, 13D, 13R).json",11,117,200117,Minimum distance between a standard sprinkler deflector and the top of storage?
"Data Block 1 - Installation (NFPA 13, 13D, 13R).json",12,118,200118,Minimum distance a standard sprinkler must be from a wall?
"Data Block 1 - Installation (NFPA 13, 13D, 13R).json",13,119,200119,Minimum distance between two standard sprinklers?
"Data Block 1 - Installation (NFPA 13, 13D, 13R).json",14,122,200122,NFPA 13R applies to residential buildings up to what height?
"Data Block 1 - Installation (NFPA 13, 13D, 13R).json",15,123,200123,What is the water supply duration requirement for NFPA 13D?
"Data Block 1 - Installation (NFPA 13, 13D, 13R).json",16,1501,201501,"To avoid an obstruction (Beam Rule), how far must the sprinkler be from the side of the beam?"
"Data Block 1 - Installation (NFPA 13, 13D, 13R).json",17,1502,201502,"If a pipe 3 inches wide is running directly under a sprinkler, how far down must the obstruction be to not require a new head?"
"Data Block 1 - Installation (NFPA 13, 13D, 13R).json",18,2701,202701,A Restaurant Seating Area is classified as what hazard?
"Data Block 1 - Installation (NFPA 13, 13D, 13R).json",19,2702,202702,A Restaurant Service Area (Kitchen) is classified as what hazard?
"Data Block 1 - Installation (NFPA 13, 13D, 13R).json",20,1401,201401,"In rack storage, what is the minimum required width for a transverse flue space?"
"Data Block 1 - Installation (NFPA 13, 13D, 13R).json",21,1402,201402,What is the maximum ceiling height generally permitted for K-14 ESFR sprinklers protecting Class I-IV commodities?
"Data Block 2 - Inspection, Testing & Maintenance (NFPA 25).json",0,201,300201,How often do you inspect private fire hydrants?
"Data Block 2 - Inspection, Testing & Maintenance (NFPA 25).json",1,202,300202,How often is a flow test conducted on a standpipe system?
"Data Block 2 - Inspection, Testing & Maintenance (NFPA 25).json",2,203,300203,How often do you check water level and air pressure in a pressure tank?
"Data Block 2 - Inspection, Testing & Maintenance (NFPA 25).json",3,204,300204,How often is the INTERIOR of a pressure tank inspected (if no corrosion protection)?
"Data Block 2 - Inspection, Testing & Maintenance (NFPA 25).json",4,205,300205,How long must a diesel fire pump run during a weekly test?
"Data Block 2 - Inspection, Testing & Maintenance (NFPA 25).json",5,206,300206,How long must an electric fire pump run during a weekly test?
"Data Block 2 - Inspection, Testing & Maintenance (NFPA 25).json",6,212,300212,How often are gauges on dry/preaction/deluge systems inspected?
"Data Block 2 - Inspection, Testing & Maintenance (NFPA 25).json",7,213,300213,How often are gauges on wet pipe systems inspected?
"Data Block 2 - Inspection, Testing & Maintenance (NFPA 25).json",8,220,300220,How often must you operate and clean a Dry Pipe Valve?
"Data Block 2 - Inspection, Testing & Maintenance (NFPA 25).json",9,221,300221,How often is a full flow trip test required for a Dry Pipe Valve?
"Data Block 2 - Inspection, Testing & Maintenance (NFPA 25).json",10,223,300223,How often is the interior of the FDC piping inspected (hydrostatic test)?
"Data Block 2 - Inspection, Testing & Maintenance (NFPA 25).json",11,224,300224,How often must a backflow preventer be forward flow tested?
"Data Block 2 - Inspection, Testing & Maintenance (NFPA 25).json",12,3101,303101,What is the primary purpose of the main drain test?
"Data Block 2 - Inspection, Testing & Maintenance (NFPA 25).json",13,3106,303106,"If an antifreeze solution test reveals the freeze point is too high (unsafe), what must be done?"
"Data Block 3 - Equipment & Specialty Valves (NFPA 14, 20, 22, 24).json",0,301,400301,Minimum flow rate for the most remote standpipe in a Class I system?
"Data Block 3 - Equipment & Specialty Valves (NFPA 14, 20, 22, 24).json",1,302,400302,Minimum flow rate for each *additional* standpipe in a Class I system?
"Data Block 3 - Equipment & Specialty Valves (NFPA 14, 20, 22, 24).json",2,303,400303,"Minimum residual pressure at the most remote 2½"" outlet?"
"Data Block 3 - Equipment & Specialty Valves (NFPA 14, 20, 22, 24).json",3,2601,402601,What is a standpipe system that is attached to a water supply capable of supplying the system demand at all times and requires no action other than opening a hose valve?
"Data Block 3 - Equipment & Specialty Valves (NFPA 14, 20, 22, 24).json",4,2603,402603,What is a standpipe system that relies exclusively on the Fire Department Connection (FDC) to supply the water demand?
"Data Block 3 - Equipment & Specialty Valves (NFPA 14, 20, 22, 24).json",5,305,400305,What fitting is used on the suction side of a pump to prevent air pockets?
"Data Block 3 - Equipment & Specialty Valves (NFPA 14, 20, 22, 24).json",6,1101,401101,What is the primary purpose of a Jockey Pump (Pressure Maintenance Pump)?
"Data Block 3 - Equipment & Specialty Valves (NFPA 14, 20, 22, 24).json",7,1103,401103,Fuel tanks for diesel fire pumps must be elevated so the supply connection is?
"Data Block 3 - Equipment & Specialty Valves (NFPA 14, 20, 22, 24).json",8,311,400311,Private fire mains under driveways must be buried how deep?
"Data Block 3 - Equipment & Specialty Valves (NFPA 14, 20, 22, 24).json",9,1001,401001,Thrust blocks are required at which locations?
"Data Block 3 - Equipment & Specialty Valves (NFPA 14, 20, 22, 24).json",10,1004,401004,What is the minimum flow rate required to flush a 4-inch underground main?
"Data Block 3 - Equipment & Specialty Valves (NFPA 14, 20, 22, 24).json",11,3201,403201,What is 'Columning' in a dry pipe valve?
"Data Block 3 - Equipment & Specialty Valves (NFPA 14, 20, 22, 24).json",12,3202,403202,"In a Double Interlock Preaction system, what two events must occur for water to enter the pipe?"
"Data Block 3 - Equipment & Specialty Valves (NFPA 14, 20, 22, 24).json",13,3203,403203,What is the purpose of the 'Ball Drip' (Automatic Drain) valve on the FDC piping?
"Data Block 4 - Admin, MN Rules & Safety (299M, OSHA).json",0,207,500207,When does a MN Sprinkler Fitter journeyman license expire?
"Data Block 4 - Admin, MN Rules & Safety (299M, OSHA).json",1,208,500208,How many hours of experience are required to take the MN Journeyman exam?
"Data Block 4 - Admin, MN Rules & Safety (299M, OSHA).json",2,209,500209,What is the fine for working without a license in MN?
"Data Block 4 - Admin, MN Rules & Safety (299M, OSHA).json",3,210,500210,MN requires FDCs to be located between what heights?
"Data Block 4 - Admin, MN Rules & Safety (299M, OSHA).json",4,211,500211,Can a control valve in a public area be unmonitored if it serves <20 heads?
"Data Block 4 - Admin, MN Rules & Safety (299M, OSHA).json",5,401,500401,Can a Journeyman Sprinkler Fitter contract for work directly with a building owner?
"Data Block 4 - Admin, MN Rules & Safety (299M, OSHA).json",6,313,500313,At what depth is a ladder required in a trench?
"Data Block 4 - Admin, MN Rules & Safety (299M, OSHA).json",7,314,500314,What is the max travel distance to a ladder in a trench?
"Data Block 4 - Admin, MN Rules & Safety (299M, OSHA).json",8,404,500404,What is the proper ratio for leaning an extension ladder against a wall?
"Data Block 4 - Admin, MN Rules & Safety (299M, OSHA).json",9,3401,503401,"If the Installation Drawings (Plans) and the Written Specifications differ, which one typically takes precedence?"
"Data Block 4 - Admin, MN Rules & Safety (299M, OSHA).json",10,3403,503403,What does 'N.I.C.' usually stand for on a set of prints?
"Data Block 5 - Math, Physics & Jobsite Logic.json",0,110,600110,"In Ordinary Hazard (130 sq ft), if heads are 12’6"" apart on the line, what is the max distance between lines?"
"Data Block 5 - Math, Physics & Jobsite Logic.json",1,111,600111,What color is the glass bulb for Ordinary Temperature (135-170°F)?
"Data Block 5 - Math, Physics & Jobsite Logic.json",2,113,600113,What color is the glass bulb for High Temperature (250-300°F)?
"Data Block 5 - Math, Physics & Jobsite Logic.json",3,114,600114,What color is the glass bulb for Extra High Temperature (325-375°F)?
"Data Block 5 - Math, Physics & Jobsite Logic.json",4,501,600501,What is the Hazen-Williams C-Factor for new Schedule 40 Steel Pipe (Wet System)?
"Data Block 5 - Math, Physics & Jobsite Logic.json",5,502,600502,What is the Hazen-Williams C-Factor for Dry or Preaction Steel Pipe?
"Data Block 5 - Math, Physics & Jobsite Logic.json",6,505,600505,What is the pressure of a column of water 1 foot high (Head pressure)?
"Data Block 5 - Math, Physics & Jobsite Logic.json",7,506,600506,How many feet of water column (Head) equal 1 psi?
"Data Block 5 - Math, Physics & Jobsite Logic.json",8,1801,601801,What does Microbiologically Influenced Corrosion (MIC) typically smell like?
"Data Block 5 - Math, Physics & Jobsite Logic.json",9,4001,604001,You're putting a nipple in a tight spot. How many threads should you be seeing if you actually tightened it?
"Data Block 5 - Math, Physics & Jobsite Logic.json",10,4002,604002,What is the 'Ball Drip' actually for?
"File 1 - Installation & Design (NFPA 13, 13D, 13R).json",0,101,700101,What is the coverage area for Light Hazard heads (Standard Spray)?
"File 1 - Installation & Design (NFPA 13, 13D, 13R).json",1,102,700102,What is the coverage area for Ordinary Hazard heads?
"File 1 - Installation & Design (NFPA 13, 13D, 13R).json",2,103,700103,What is the coverage area for Extra Hazard heads?
"File 1 - Installation & Design (NFPA 13, 13D, 13R).json",3,104,700104,"What is the maximum distance between hangers on 1"" schedule 40 pipe?"
"File 1 - Installation & Design (NFPA 13, 13D, 13R).json",4,105,700105,"What is the maximum distance between hangers on 1¼"" schedule 40 pipe?"
"File 1 - Installation & Design (NFPA 13, 13D, 13R).json",5,106,700106,"What is the maximum distance between hangers on 1½"" schedule 40 pipe?"
"File 1 - Installation & Design (NFPA 13, 13D, 13R).json",6,107,700107,"Maximum unsupported length of pipe from end of 1"" pipe to last hanger?"
"File 1 - Installation & Design (NFPA 13, 13D, 13R).json",7,108,700108,"Maximum unsupported length of pipe from end of 1¼"" pipe to last hanger?"
"File 1 - Installation & Design (NFPA 13, 13D, 13R).json",8,109,700109,"Maximum unsupported length of pipe from end of 1½"" pipe to last hanger?"
"File 1 - Installation & Design (NFPA 13, 13D, 13R).json",9,110,700110,"In Ordinary Hazard (130 sq ft), if heads are 12’6"" apart on the line, what is the max distance between lines?"
"File 1 - Installation & Design (NFPA 13, 13D, 13R).json",10,111,700111,What color is the glass bulb for Ordinary Temperature (135-170°F)?
"File 1 - Installation & Design (NFPA 13, 13D, 13R).json",11,112,700112,What color is the glass bulb for Intermediate Temperature (175-225°F)?
"File 1 - Installation & Design (NFPA 13, 13D, 13R).json",12,113,700113,What color is the glass bulb for High Temperature (250-300°F)?
"File 1 - Installation & Design (NFPA 13, 13D, 13R).json",13,114,700114,What color is the glass bulb for Extra High Temperature (325-375°F)?
"File 1 - Installation & Design (NFPA 13, 13D, 13R).json",14,115,700115,"In Light Hazard, how many sprinklers can be fed by a 1"" pipe?"
"File 1 - Installation & Design (NFPA 13, 13D, 13R).json",15,116,700116,"In Light Hazard, how many sprinklers can be fed by a 1½"" pipe?"
"File 1 - Installation & Design (NFPA 13, 13D, 13R).json",16,117,700117,Minimum distance between a standard sprinkler deflector and the top of storage?
"File 1 - Installation & Design (NFPA 13, 13D, 13R).json",17,118,700118,Minimum distance a standard sprinkler must be from a wall?
"File 1 - Installation & Design (NFPA 13, 13D, 13R).json",18,119,700119,Minimum distance between two standard sprinklers?
"File 1 - Installation & Design (NFPA 13, 13D, 13R).json",19,120,700120,Pitch required for branch lines in a dry system?
"File 1 - Installation & Design (NFPA 13, 13D, 13R).json",20,121,700121,Pitch required for mains in a dry system?
"File 1 - Installation & Design (NFPA 13, 13D, 13R).json",21,122,700122,NFPA 13R applies to residential buildings up to what height?
"File 1 - Installation & Design (NFPA 13, 13D, 13R).json",22,123,700123,What is the water supply duration requirement for NFPA 13D?
File 10 - The 'Math & Formula' Cheat Sheet.json,0,701,800701,Formula to convert Feet of Head to PSI?
File 10 - The 'Math & Formula' Cheat Sheet.json,1,702,800702,Formula to convert PSI to Feet of Head?
File 10 - The 'Math & Formula' Cheat Sheet.json,2,703,800703,What is the standard flow formula (K-Factor)?
File 10 - The 'Math & Formula' Cheat Sheet.json,3,704,800704,"Hazen-Williams Formula: If pipe diameter DECREASES, what happens to friction loss?"
File 10 - The 'Math & Formula' Cheat Sheet.json,4,705,800705,How many gallons are in 1 cubic foot of water?
File 10 - The 'Math & Formula' Cheat Sheet.json,5,706,800706,How much does 1 gallon of water weigh?
File 10 - The 'Math & Formula' Cheat Sheet.json,6,707,800707,Formula for Sprinkler Coverage Area (Spacing)?
File 10 - The 'Math & Formula' Cheat Sheet.json,7,708,800708,"If the required density is 0.15 gpm/sq ft and the coverage area is 130 sq ft, what is the minimum flow (Q)?"
File 11 - The 'Minnesota Traps' & Common Mistakes.json,0,801,900801,MN TRAP: What is the max height of an FDC in Minnesota?
File 11 - The 'Minnesota Traps' & Common Mistakes.json,1,802,900802,MN TRAP: Does a small system (under 20 heads) require valve monitoring?
File 11 - The 'Minnesota Traps' & Common Mistakes.json,2,803,900803,Common Mistake: Can you use NFPA 13R for a 4-story building with a basement sticking 50% out of the ground?
File 11 - The 'Minnesota Traps' & Common Mistakes.json,3,804,900804,Common Mistake: Do you need sprinklers in a 50 sq ft bathroom in an NFPA 13 (Commercial) Hotel?
File 11 - The 'Minnesota Traps' & Common Mistakes.json,4,805,900805,"MN TRAP: If you fail to renew your license by June 30th, can you still work?"
File 11 - The 'Minnesota Traps' & Common Mistakes.json,5,806,900806,Common Mistake: What color are frame arms for 'High' temp (250-300)?
File 11 - The 'Minnesota Traps' & Common Mistakes.json,6,807,900807,Common Mistake: What color are frame arms for 'Extra High' temp (325-375)?
File 11 - The 'Minnesota Traps' & Common Mistakes.json,7,808,900808,Common Mistake: Can you install a sprinkler 2 inches from a wall?
File 12 - Seismic Bracing & Sway.json,0,901,1000901,Lateral sway braces are spaced at a maximum of what distance?
File 12 - Seismic Bracing & Sway.json,1,902,1000902,Longitudinal sway braces are spaced at a maximum of what distance?
File 12 - Seismic Bracing & Sway.json,2,903,1000903,A lateral brace must be within how many feet of the end of the pipe?
File 12 - Seismic Bracing & Sway.json,3,904,1000904,A longitudinal brace must be within how many feet of the end of the pipe?
File 12 - Seismic Bracing & Sway.json,4,905,1000905,Where are 4-way sway braces required?
File 12 - Seismic Bracing & Sway.json,5,906,1000906,"On a riser, where should a flexible coupling be installed in a seismic zone?"
File 12 - Seismic Bracing & Sway.json,6,907,1000907,What is the required clearance for a pipe 4 inches or larger passing through a wall in a seismic zone?
File 12 - Seismic Bracing & Sway.json,7,908,1000908,Branch lines need restraint (wraparound/clip) at the end if?
File 13 - Underground & Thrust Blocks (NFPA 24).json,0,1001,1101001,Thrust blocks are required at which locations?
File 13 - Underground & Thrust Blocks (NFPA 24).json,1,1002,1101002,Can concrete for a thrust block cover the bolts of the fitting?
File 13 - Underground & Thrust Blocks (NFPA 24).json,2,1003,1101003,"When using threaded rod for restraining underground pipe, what size rod is required for pipe 4"" to 8""?"
File 13 - Underground & Thrust Blocks (NFPA 24).json,3,1004,1101004,What is the minimum flow rate required to flush a 4-inch underground main?
File 13 - Underground & Thrust Blocks (NFPA 24).json,4,1005,1101005,What is the minimum flow rate required to flush a 6-inch underground main?
File 13 - Underground & Thrust Blocks (NFPA 24).json,5,1006,1101006,Underground piping must be hydrostatically tested at what pressure?
File 14 - Fire Pumps Advanced (NFPA 20).json,0,1101,1201101,What is the primary purpose of a Jockey Pump (Pressure Maintenance Pump)?
File 14 - Fire Pumps Advanced (NFPA 20).json,1,1102,1201102,The Jockey Pump stop point should be set equal to what?
File 14 - Fire Pumps Advanced (NFPA 20).json,2,1103,1201103,Fuel tanks for diesel fire pumps must be elevated so the supply connection is?
File 14 - Fire Pumps Advanced (NFPA 20).json,3,1104,1201104,How much fuel must a diesel fire pump tank hold?
File 14 - Fire Pumps Advanced (NFPA 20).json,4,1105,1201105,What is the minimum pipe size for the relief valve discharge on a 1000 gpm pump?
File 14 - Fire Pumps Advanced (NFPA 20).json,5,1106,1201106,Does a jockey pump require a test header/hose valves?
File 15 - Plan Reading & Symbols (Field Knowledge).json,0,1201,1301201,What does the symbol of a circle with a 'T' in the center typically represent?
File 15 - Plan Reading & Symbols (Field Knowledge).json,1,1202,1301202,"If a drawing is scaled at 1/8"" = 1'0"", what does a line measuring 2 inches on paper represent in reality?"
File 15 - Plan Reading & Symbols (Field Knowledge).json,2,1203,1301203,"Which view shows the building as if you were looking down from above, with the roof removed?"
File 15 - Plan Reading & Symbols (Field Knowledge).json,3,1204,1301204,Which view shows a vertical slice through the building to show heights of pipes?
File 15 - Plan Reading & Symbols (Field Knowledge).json,4,1205,1301205,"On a sprinkler head symbol, what does 'SSU' stand for?"
File 15 - Plan Reading & Symbols (Field Knowledge).json,5,1206,1301206,"On a sprinkler head symbol, what does 'SSP' stand for?"
File 16 - Final 'Cram' Facts.json,0,1301,1401301,What is the melting point of the solder in an ordinary temperature fusible link?
File 16 - Final 'Cram' Facts.json,1,1302,1401302,Water filled piping must be maintained at a minimum temperature of?
File 16 - Final 'Cram' Facts.json,2,1303,1401303,What is the maximum travel distance to a Class A fire extinguisher?
File 16 - Final 'Cram' Facts.json,3,1304,1401304,How often must fire extinguishers be visually inspected?
File 16 - Final 'Cram' Facts.json,4,1305,1401305,What is the minimum distance a ladder must be kept from energized power lines?
File 17 - Storage & Special Hazards (NFPA 13).json,0,1401,1501401,"In rack storage, what is the minimum required width for a transverse flue space?"
File 17 - Storage & Special Hazards (NFPA 13).json,1,1402,1501402,What is the maximum ceiling height generally permitted for K-14 ESFR sprinklers protecting Class I-IV commodities?
File 17 - Storage & Special Hazards (NFPA 13).json,2,1403,1501403,"When installing in-rack sprinklers, what must be installed above the sprinkler to protect it from water discharge above?"
File 17 - Storage & Special Hazards (NFPA 13).json,3,1404,1501404,Idle wood pallets stored indoors cannot exceed what height without sprinkler protection?
File 17 - Storage & Special Hazards (NFPA 13).json,4,1405,1501405,"Which commodity class includes wood, paper, and natural fibers?"
File 17 - Storage & Special Hazards (NFPA 13).json,5,1406,1501406,Expanded polystyrene (Styrofoam) is classified as what type of commodity?
File 18 - The 'Three Times Rule' & Obstructions (NFPA 13).json,0,1501,1601501,"To avoid an obstruction (Beam Rule), how far must the sprinkler be from the side of the beam?"
File 18 - The 'Three Times Rule' & Obstructions (NFPA 13).json,1,1502,1601502,"If a pipe 3 inches wide is running directly under a sprinkler, how far down must the obstruction be to not require a new head?"
File 18 - The 'Three Times Rule' & Obstructions (NFPA 13).json,2,1503,1601503,"In a hospital, do privacy curtains with a 70% open mesh at the top require sprinklers in the cubicle?"
File 18 - The 'Three Times Rule' & Obstructions (NFPA 13).json,3,1504,1601504,A soffit exceeds 12 inches in width. Do you need a sprinkler underneath it?
File 18 - The 'Three Times Rule' & Obstructions (NFPA 13).json,4,1505,1601505,"When installing sprinklers in open web trusses, how far must the deflector be from the web member?"
File 19 - System Acceptance & Flushing (NFPA 13&24).json,0,1601,1701601,What flow rate is required to flush a 4-inch underground main?
File 19 - System Acceptance & Flushing (NFPA 13&24).json,1,1602,1701602,What flow rate is required to flush a 6-inch underground main?
File 19 - System Acceptance & Flushing (NFPA 13&24).json,2,1603,1701603,What flow rate is required to flush an 8-inch underground main?
File 19 - System Acceptance & Flushing (NFPA 13&24).json,3,1604,1701604,What is the maximum allowable pressure drop during a 2-hour hydrostatic test?
File 19 - System Acceptance & Flushing (NFPA 13&24).json,4,1605,1701605,Who must sign the Contractor's Material and Test Certificate?
"File 2 - ITM, Rules & Admin (NFPA 25, MN Statutes).json",0,201,1800201,How often do you inspect private fire hydrants?
"File 2 - ITM, Rules & Admin (NFPA 25, MN Statutes).json",1,202,1800202,How often is a flow test conducted on a standpipe system?
"File 2 - ITM, Rules & Admin (NFPA 25, MN Statutes).json",2,203,1800203,How often do you check water level and air pressure in a pressure tank?
"File 2 - ITM, Rules & Admin (NFPA 25, MN Statutes).json",3,204,1800204,How often is the INTERIOR of a pressure tank inspected (if no corrosion protection)?
"File 2 - ITM, Rules & Admin (NFPA 25, MN Statutes).json",4,205,1800205,How long must a diesel fire pump run during a weekly test?
"File 2 - ITM, Rules & Admin (NFPA 25, MN Statutes).json",5,206,1800206,How long must an electric fire pump run during a weekly test?
"File 2 - ITM, Rules & Admin (NFPA 25, MN Statutes).json",6,207,1800207,When does a MN Sprinkler Fitter journeyman license expire?
"File 2 - ITM, Rules & Admin (NFPA 25, MN Statutes).json",7,208,1800208,How many hours of experience are required to take the MN Journeyman exam?
"File 2 - ITM, Rules & Admin (NFPA 25, MN Statutes).json",8,209,1800209,What is the fine for working without a license in MN?
"File 2 - ITM, Rules & Admin (NFPA 25, MN Statutes).json",9,210,1800210,MN requires FDCs to be located between what heights?
"File 2 - ITM, Rules & Admin (NFPA 25, MN Statutes).json",10,211,1800211,Can a control valve in a public area be unmonitored if it serves <20 heads?
"File 2 - ITM, Rules & Admin (NFPA 25, MN Statutes).json",11,212,1800212,How often are gauges on dry/preaction/deluge systems inspected?
"File 2 - ITM, Rules & Admin (NFPA 25, MN Statutes).json",12,213,1800213,How often are gauges on wet pipe systems inspected?
"File 2 - ITM, Rules & Admin (NFPA 25, MN Statutes).json",13,214,1800214,How often are sprinkler heads inspected from the floor level?
"File 2 - ITM, Rules & Admin (NFPA 25, MN Statutes).json",14,215,1800215,How often are supervisory alarm devices (tampers) tested?
File 20 - Fire Alarm & Detection Interface (NFPA 72&13).json,0,1701,1901701,"According to NFPA 72, a waterflow switch must initiate an alarm signal within how many seconds?"
File 20 - Fire Alarm & Detection Interface (NFPA 72&13).json,1,1702,1901702,Solenoid valves for preaction systems must be rated for what pressure?
File 20 - Fire Alarm & Detection Interface (NFPA 72&13).json,2,1703,1901703,A supervisory switch (tamper) must signal if the valve is closed how many turns?
File 20 - Fire Alarm & Detection Interface (NFPA 72&13).json,3,1704,1901704,Can a sprinkler air compressor be wired into a light circuit?
"File 21 - Corrosion, MIC & Obstructions (The 'System Killer' Deck).json",0,1801,2001801,What does Microbiologically Influenced Corrosion (MIC) typically smell like?
"File 21 - Corrosion, MIC & Obstructions (The 'System Killer' Deck).json",1,1802,2001802,Which of the following is a 'trigger' requiring a comprehensive obstruction investigation?
"File 21 - Corrosion, MIC & Obstructions (The 'System Killer' Deck).json",2,1803,2001803,Pin-hole leaks at the 6 o'clock position on a horizontal main usually indicate what?
"File 21 - Corrosion, MIC & Obstructions (The 'System Killer' Deck).json",3,1804,2001804,What type of reaction occurs when Copper pipe touches Steel pipe without a dielectric union?
"File 21 - Corrosion, MIC & Obstructions (The 'System Killer' Deck).json",4,1805,2001805,Why is a single air vent required on wet systems (2016 edition update)?
File 22 - Vertical Shafts & Elevators (The 'High-Rise' Deck).json,0,1901,2101901,When is a sprinkler required at the BOTTOM of an elevator shaft?
File 22 - Vertical Shafts & Elevators (The 'High-Rise' Deck).json,1,1902,2101902,"If a sprinkler is installed at the top of an elevator shaft, what else is required?"
File 22 - Vertical Shafts & Elevators (The 'High-Rise' Deck).json,2,1903,2101903,"In a linen or trash chute, where are sprinklers required?"
File 22 - Vertical Shafts & Elevators (The 'High-Rise' Deck).json,3,1904,2101904,"Do non-combustible, non-accessible vertical shafts require sprinklers?"
File 22 - Vertical Shafts & Elevators (The 'High-Rise' Deck).json,4,1905,2101905,Where are sprinklers required in non-combustible stair shafts?
File 23 - Pump Theory & Troubleshooting (The 'Engineer' Deck).json,0,2001,2202001,"If a fire pump sounds like it is pumping gravel, what is happening?"
File 23 - Pump Theory & Troubleshooting (The 'Engineer' Deck).json,1,2002,2202002,What causes Cavitation?
File 23 - Pump Theory & Troubleshooting (The 'Engineer' Deck).json,2,2003,2202003,What is 'Churn' pressure?
File 23 - Pump Theory & Troubleshooting (The 'Engineer' Deck).json,3,2004,2202004,Why do we verify the pump RPM during a flow test?
File 23 - Pump Theory & Troubleshooting (The 'Engineer' Deck).json,4,2005,2202005,"If the pump starts but fails to build pressure, what is the most likely cause?"
File 24 - Exposure Protection & Special Spray (The 'Niche' Deck).json,0,2101,2302101,"When using sprinklers to protect a glass window (Exposure Protection), how far from the glass must the head be?"
File 24 - Exposure Protection & Special Spray (The 'Niche' Deck).json,1,2102,2302102,What is the maximum spacing between sprinklers protecting a window/cornice?
File 24 - Exposure Protection & Special Spray (The 'Niche' Deck).json,2,2103,2302103,"If using 'Specific Application Attic Sprinklers', what is the advantage?"
File 24 - Exposure Protection & Special Spray (The 'Niche' Deck).json,3,2104,2302104,"When sprinklers are spaced closer than 6 feet, what must be installed?"
File 24 - Exposure Protection & Special Spray (The 'Niche' Deck).json,4,2105,2302105,Dimensions of a baffle?
File 25 - Residential Deep Dive (NFPA 13D & 13R).json,0,2201,2402201,"In a single-family home (13D), are sprinklers required in the garage?"
File 25 - Residential Deep Dive (NFPA 13D & 13R).json,1,2202,2402202,Does an NFPA 13D system require a water flow alarm notification on the exterior of the house?
File 25 - Residential Deep Dive (NFPA 13D & 13R).json,2,2203,2402203,"In NFPA 13R, what is the maximum 'shadow area' (dry spot) allowed in a compartment?"
File 25 - Residential Deep Dive (NFPA 13D & 13R).json,3,2204,2402204,How many spare sprinklers are required for an NFPA 13D system?
